ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
0,Stainless_304,193000,516.04,53.97,68.9,12387.46,315.22,107.985,1.4078
1,Stainless_304,193000,1416.88,49.64,73.86,7171.26,311.22,170.67,15.8987
2,Stainless_304,193000,877.75,16.43,103.62,5652.97,328.9,90.124,2.2389
3,Nylon_66,3000,1900.5,13.49,115.28,562.65,162.51,11.104,74.8876
4,Brass,105000,503.75,54.97,95.1,38219.95,275.06,232.874,3.9214
5,Steel_Mild,200000,513.53,15.33,43.51,1371.2,163.31,43.805,0.8447
6,Aluminum_6061,69000,1030.22,34.27,37.88,1815.36,250.3,215.339,58.1603
7,Steel_Mild,200000,411.69,46.58,115.87,30391.0,66.84,113.381,0.5381
8,Stainless_304,193000,310.77,38.56,79.52,8830.73,29.2,35.647,0.1383
9,Magnesium_AZ31B,45000,1154.58,51.21,102.7,4212.43,62.44,48.302,9.2104
10,Copper_Alloy,117000,491.21,37.34,64.85,2385.66,62.23,40.141,0.8399
11,Brass,105000,670.61,18.22,74.99,4976.69,36.08,118.171,4.3825
12,Nylon_66,3000,1284.49,28.65,112.39,1216.37,52.35,20.755,66.9085
13,Polycarbonate,2400,1398.65,57.79,115.02,1640.89,84.18,17.955,84.6522
14,Brass,105000,1627.63,32.87,42.4,807.83,257.98,130.706,51.8003
15,Aluminum_6061,69000,874.5,11.29,119.62,8208.07,145.73,155.395,9.2729
16,Magnesium_AZ31B,45000,1593.07,12.77,95.7,1603.57,134.38,94.618,36.8
17,Stainless_304,193000,1757.82,15.05,89.29,2083.47,294.31,167.575,19.9501
18,Copper_Alloy,117000,1898.45,41.44,45.92,300.17,322.74,23.817,10.5945
19,Stainless_304,193000,579.63,26.47,44.46,571.09,9.74,6.903,0.1676
20,Steel_Mild,200000,1526.25,23.67,112.69,4744.52,331.82,69.862,4.7034
21,Stainless_304,193000,308.41,10.04,21.98,406.51,13.14,37.065,0.527
22,Brass,105000,1883.24,40.56,70.12,3847.52,62.95,194.793,62.3494
23,Polycarbonate,2400,854.87,42.12,101.27,3069.26,76.18,35.608,70.9405
24,Titanium_6Al4V,114000,1140.8,58.06,95.84,52058.88,348.96,137.212,10.161
25,Steel_High_Carbon,210000,1669.5,41.08,107.58,18240.75,34.0,218.41,17.6758
26,Copper_Alloy,117000,1585.89,49.72,80.66,7585.39,213.38,124.372,21.8111
27,Aluminum_6061,69000,294.71,25.81,23.93,1768.43,58.03,181.109,6.294
28,Brass,105000,1172.8,25.58,55.34,2281.62,297.73,182.196,28.6276
29,Brass,105000,586.51,24.79,111.93,12400.31,77.66,138.678,2.6783
30,Brass,105000,1948.02,11.42,99.93,332.97,127.74,27.172,6.5068
31,Brass,105000,626.22,28.79,104.89,3416.69,116.57,36.849,0.8605
32,Nylon_66,3000,1768.02,19.41,77.34,185.73,265.6,16.933,151.9716
33,Titanium_6Al4V,114000,312.57,17.87,115.78,44871.28,2.72,38.427,0.1015
34,Aluminum_6061,69000,337.76,33.43,69.43,324.63,203.5,1.762,0.0259
35,Magnesium_AZ31B,45000,232.66,58.76,107.89,74136.94,117.77,141.9,0.9955
36,Nylon_66,3000,665.68,24.07,106.76,1138.97,122.53,14.252,12.8954
37,Titanium_6Al4V,114000,797.79,22.28,93.35,16838.85,124.06,348.904,13.7133
38,Steel_High_Carbon,210000,1623.74,48.79,21.86,1290.78,326.8,296.358,113.0825
39,Polycarbonate,2400,740.64,28.48,44.15,320.32,12.94,5.992,19.817
40,Stainless_304,193000,1721.05,22.12,56.52,1750.87,57.49,216.544,39.0595
41,Stainless_304,193000,822.49,34.26,49.83,1601.41,23.89,38.493,1.7643
42,Aluminum_6061,69000,313.45,35.34,60.05,990.0,308.95,11.694,0.1796
43,Titanium_6Al4V,114000,797.87,30.78,47.1,9567.84,179.27,15.147,0.6771
44,Brass,105000,1055.35,42.5,64.84,6287.41,332.94,103.431,11.0549
45,Magnesium_AZ31B,45000,859.42,13.9,50.75,755.13,240.16,94.909,20.3419
46,Magnesium_AZ31B,45000,519.43,58.85,82.67,3023.97,358.68,1.162,0.0271
47,Stainless_304,193000,245.5,20.42,57.87,3899.22,80.01,83.714,0.2976
48,Steel_High_Carbon,210000,1222.47,58.86,84.49,20713.2,267.5,361.58,20.284
49,Copper_Alloy,117000,461.06,52.93,46.4,6488.73,337.59,62.548,1.5676
50,Nylon_66,3000,1015.52,50.47,73.07,515.18,279.13,11.529,36.0724
51,Polycarbonate,2400,222.74,40.25,58.62,5581.04,258.4,53.64,12.4193
52,Copper_Alloy,117000,233.01,29.46,80.6,15075.39,336.75,49.733,0.1673
53,Copper_Alloy,117000,1984.58,24.9,90.78,216.65,52.93,10.091,2.4798
54,Stainless_304,193000,306.21,30.99,87.9,9948.59,268.11,77.002,0.2811
55,Brass,105000,939.59,25.93,63.44,424.3,167.6,5.176,0.4349
56,Steel_High_Carbon,210000,200.42,21.76,57.64,26767.88,97.76,447.435,0.976
57,Aluminum_6061,69000,662.84,56.22,98.58,23015.5,285.7,162.742,6.9453
58,Magnesium_AZ31B,45000,284.13,48.16,112.86,17960.83,36.42,32.693,0.3145
59,Steel_High_Carbon,210000,945.47,58.76,106.06,41532.36,144.16,214.353,5.5845
60,Nylon_66,3000,1512.62,29.43,97.58,692.66,196.14,6.47,32.4938
61,Stainless_304,193000,1204.61,54.55,56.92,3530.01,77.58,141.256,12.4149
62,Titanium_6Al4V,114000,861.74,55.31,106.85,84603.79,11.74,155.151,5.7296
63,Titanium_6Al4V,114000,1593.17,48.31,34.52,1002.94,128.16,131.323,56.3053
64,Brass,105000,1496.69,12.25,118.31,306.97,201.76,6.16,0.7165
65,Steel_High_Carbon,210000,1103.23,19.56,58.33,101.44,70.08,9.519,0.6284
66,Steel_Mild,200000,643.69,48.98,45.3,772.9,146.89,16.522,0.4946
67,Copper_Alloy,117000,690.01,25.62,114.57,13661.04,223.59,119.619,2.7458
68,Aluminum_6061,69000,372.93,24.33,60.66,1473.92,156.93,15.388,0.3198
69,Aluminum_6061,69000,1109.1,47.43,95.82,2689.02,193.0,9.826,1.1466
70,Steel_Mild,200000,1307.33,51.1,85.65,12367.83,75.77,251.649,16.6856
71,Steel_Mild,200000,1222.37,57.85,109.17,19978.37,185.12,22.129,0.8655
72,Steel_High_Carbon,210000,246.29,28.9,115.73,63251.71,252.21,240.309,0.3827
73,Steel_High_Carbon,210000,631.61,33.49,99.13,3258.19,196.15,11.401,0.1334
74,Copper_Alloy,117000,460.59,29.62,27.25,1510.02,81.49,187.977,8.3235
75,Brass,105000,1478.91,18.29,22.29,188.76,228.17,137.652,85.5642
76,Steel_High_Carbon,210000,941.89,28.61,22.97,398.47,66.3,136.849,16.7483
77,Steel_Mild,200000,989.25,16.68,76.92,362.77,169.39,4.297,0.1704
78,Brass,105000,1712.6,46.26,31.35,841.57,2.86,10.07,5.6373
79,Steel_Mild,200000,878.21,46.44,92.91,2064.1,341.59,9.031,0.2371
80,Copper_Alloy,117000,1767.5,28.31,49.74,1194.37,268.5,180.815,64.6972
81,Aluminum_6061,69000,1858.5,24.86,38.35,578.13,322.34,108.213,93.7454
82,Stainless_304,193000,778.93,54.09,75.33,11703.82,236.42,150.184,4.1306
83,Copper_Alloy,117000,246.51,45.85,105.2,77586.66,260.25,229.339,0.7336
84,Polycarbonate,2400,582.21,49.66,75.37,1730.3,189.23,3.898,4.2949
85,Polycarbonate,2400,242.43,43.31,86.61,11214.51,68.19,48.269,8.7877
86,Steel_High_Carbon,210000,297.48,44.04,55.59,18134.15,18.12,81.228,0.3739
87,Magnesium_AZ31B,45000,326.54,10.27,37.51,949.38,182.37,7.79,0.2249
88,Stainless_304,193000,532.18,42.61,59.08,403.65,214.37,5.03,0.081
89,Polycarbonate,2400,1982.09,57.05,47.11,409.87,10.75,7.331,166.3432
90,Steel_Mild,200000,774.13,13.03,99.01,6346.31,80.52,228.779,4.5924
91,Stainless_304,193000,342.07,50.07,60.7,7320.5,220.42,54.79,0.3516
92,Brass,105000,1506.4,54.7,78.16,4042.01,167.88,23.884,4.2314
93,Brass,105000,545.68,22.8,73.84,5173.29,305.67,112.667,2.8341
94,Steel_Mild,200000,565.98,14.84,24.37,513.19,350.07,35.502,1.494
95,Steel_Mild,200000,1631.58,42.53,67.08,4234.98,204.17,90.069,11.7335
96,Copper_Alloy,117000,469.98,26.04,57.47,6792.4,213.54,126.999,2.6948
97,Brass,105000,937.81,40.32,89.51,6586.38,142.52,71.314,4.3549
98,Magnesium_AZ31B,45000,809.28,40.16,67.38,1202.22,163.3,9.632,1.3249
99,Nylon_66,3000,234.84,11.6,79.75,2790.45,355.97,6.777,0.6219
100,Steel_Mild,200000,256.25,25.46,84.06,33498.21,160.27,112.223,0.2524
101,Brass,105000,753.01,24.98,29.11,630.56,292.78,124.442,15.3465
102,Aluminum_6061,69000,1000.95,42.88,39.26,2682.46,254.25,235.063,57.8437
103,Aluminum_6061,69000,238.3,56.28,98.28,73675.26,152.77,101.751,0.4967
104,Titanium_6Al4V,114000,1622.25,30.3,78.48,12275.3,63.46,575.202,112.321
105,Magnesium_AZ31B,45000,489.33,11.33,97.02,1110.7,306.06,25.402,0.9038
106,Aluminum_6061,69000,1289.21,50.32,51.85,3460.72,155.69,82.683,25.2298
107,Titanium_6Al4V,114000,1344.98,30.45,34.65,2418.62,170.17,93.411,27.8273
108,Brass,105000,279.2,42.19,21.66,2442.89,14.0,52.638,1.1429
109,Magnesium_AZ31B,45000,440.37,59.02,42.93,1752.53,235.55,35.527,2.3493
110,Steel_High_Carbon,210000,674.54,32.81,88.48,24768.87,32.52,217.33,3.4253
111,Magnesium_AZ31B,45000,923.14,22.91,86.59,1686.65,38.74,34.724,4.9622
112,Magnesium_AZ31B,45000,1855.68,20.38,40.35,184.41,0.88,1.175,1.2016
113,Brass,105000,479.36,26.61,29.62,501.67,204.09,25.816,1.2426
114,Aluminum_6061,69000,1268.46,36.76,108.24,10564.48,199.28,64.189,8.8535
115,Brass,105000,1206.52,13.91,104.4,2515.77,251.99,114.853,10.1134
116,Nylon_66,3000,1180.59,22.87,80.62,802.87,128.21,30.345,115.497
117,Steel_Mild,200000,1181.33,15.54,105.46,3399.71,228.89,106.49,4.6337
118,Steel_High_Carbon,210000,1744.61,37.03,47.82,2095.94,22.61,100.71,20.127
119,Stainless_304,193000,455.23,11.3,114.64,13235.27,143.05,155.313,0.9139
120,Steel_Mild,200000,999.41,19.43,57.68,568.04,25.89,23.471,1.3281
121,Magnesium_AZ31B,45000,1546.29,10.37,100.37,585.65,303.96,43.47,15.2246
122,Stainless_304,193000,1825.88,55.8,33.5,817.87,140.65,91.063,31.1862
123,Steel_Mild,200000,341.97,34.43,23.23,2056.48,161.06,76.176,1.237
124,Brass,105000,538.73,58.63,49.08,5625.76,37.23,79.517,2.9248
125,Copper_Alloy,117000,614.48,41.51,21.96,1226.6,44.92,160.494,15.6289
126,Copper_Alloy,117000,1221.39,20.84,83.02,1848.89,313.49,69.201,7.0071
127,Titanium_6Al4V,114000,1140.58,33.72,71.31,25907.86,186.03,119.372,11.5887
128,Copper_Alloy,117000,1052.23,15.14,93.56,1894.49,57.07,76.533,5.1078
129,Steel_Mild,200000,1576.75,26.61,86.02,4266.9,35.29,119.994,11.4104
130,Aluminum_6061,69000,1653.11,15.07,82.7,395.85,131.54,28.731,9.1034
131,Brass,105000,1858.54,36.99,69.75,470.89,24.21,12.134,3.7624
132,Stainless_304,193000,1178.45,55.46,34.34,794.34,264.25,85.496,11.9363
133,Steel_High_Carbon,210000,1782.03,24.49,105.7,13621.28,119.28,467.007,44.2819
134,Stainless_304,193000,1643.31,47.79,82.44,6859.78,335.68,87.367,9.7038
135,Copper_Alloy,117000,1928.87,49.81,33.77,186.68,142.41,23.29,14.5648
136,Titanium_6Al4V,114000,1519.04,56.07,103.38,57268.8,346.05,219.66,27.4093
137,Steel_Mild,200000,1718.31,13.47,99.38,1179.47,287.48,87.477,8.6342
138,Brass,105000,573.01,58.6,82.49,17025.55,8.85,26.102,0.5711
139,Aluminum_6061,69000,1442.92,32.45,113.39,6723.15,167.98,30.856,5.1544
140,Polycarbonate,2400,351.12,21.39,68.93,2550.6,336.53,22.715,10.4642
141,Polycarbonate,2400,1170.65,36.64,36.48,434.42,359.61,0.751,4.4477
142,Copper_Alloy,117000,1434.96,56.99,21.2,316.32,47.43,78.484,43.3369
143,Copper_Alloy,117000,394.59,16.34,87.43,5714.15,22.42,45.181,0.4194
144,Brass,105000,886.23,29.02,67.79,3297.13,36.73,80.007,5.7834
145,Magnesium_AZ31B,45000,822.96,54.02,88.87,2911.36,227.92,25.442,2.8235
146,Titanium_6Al4V,114000,1739.58,49.67,69.97,5617.6,285.51,232.804,58.7623
147,Brass,105000,1477.52,55.72,49.9,1872.23,74.56,115.502,32.0298
148,Steel_Mild,200000,1164.34,55.46,117.48,9425.55,282.22,84.463,3.2341
149,Magnesium_AZ31B,45000,1058.59,19.6,49.6,473.5,146.83,34.539,11.4218
150,Stainless_304,193000,1186.03,30.71,71.79,2817.92,113.7,116.566,7.852
151,Brass,105000,1493.36,39.24,119.34,10230.32,216.02,98.28,11.4444
152,Polycarbonate,2400,633.62,31.33,47.49,539.26,15.63,8.17,18.3573
153,Titanium_6Al4V,114000,323.36,21.91,90.46,93591.56,207.13,506.965,3.1241
154,Steel_Mild,200000,857.4,30.22,26.92,147.38,146.37,19.326,1.7453
155,Magnesium_AZ31B,45000,1177.89,12.11,105.35,2218.44,339.76,42.017,7.8738
156,Steel_High_Carbon,210000,1207.29,26.47,86.45,6400.16,248.38,219.0,11.661
157,Magnesium_AZ31B,45000,1427.96,51.13,116.71,6995.3,76.01,83.839,21.6135
158,Aluminum_6061,69000,273.65,48.59,31.77,3038.75,161.63,33.968,0.7302
159,Copper_Alloy,117000,1041.26,29.34,21.04,348.03,42.53,113.583,33.2279
160,Copper_Alloy,117000,928.18,48.44,70.61,3930.5,347.29,21.072,1.3864
161,Aluminum_6061,69000,1927.3,43.64,30.54,124.32,227.98,26.303,30.8351
162,Polycarbonate,2400,235.23,56.32,48.61,3156.23,115.87,30.74,9.5236
163,Stainless_304,193000,262.57,54.75,66.84,19493.97,227.58,96.822,0.3303
164,Stainless_304,193000,1857.21,10.65,116.82,2221.13,33.15,94.652,9.4976
165,Magnesium_AZ31B,45000,1456.01,52.93,114.21,9573.52,310.82,92.76,25.2093
166,Copper_Alloy,117000,1170.48,44.56,21.48,678.5,237.18,195.162,70.7852
167,Brass,105000,1890.0,40.46,93.97,1378.32,340.92,14.647,3.4515
168,Brass,105000,1170.57,50.28,107.35,18168.14,292.0,205.607,16.5477
169,Brass,105000,1052.21,45.62,47.94,547.98,57.75,28.045,4.0919
170,Stainless_304,193000,1055.26,13.68,32.81,108.82,279.39,46.203,5.4116
171,Steel_Mild,200000,629.06,58.24,84.22,894.45,193.27,2.056,0.0294
172,Titanium_6Al4V,114000,248.83,17.78,35.25,6177.84,342.9,132.393,1.2611
173,Aluminum_6061,69000,469.67,45.27,49.82,10594.9,19.48,93.129,3.7909
174,Steel_Mild,200000,888.23,39.23,117.39,14658.67,169.07,30.566,0.614
175,Polycarbonate,2400,502.44,57.37,100.21,2808.71,23.31,6.285,4.0708
176,Titanium_6Al4V,114000,500.95,17.72,110.86,19111.43,221.64,183.303,2.3203
177,Brass,105000,549.63,27.99,55.45,2757.26,246.99,98.036,3.3639
178,Titanium_6Al4V,114000,426.66,56.89,47.76,27569.1,27.5,260.414,5.5977
179,Stainless_304,193000,639.96,43.92,91.09,18429.66,104.02,189.873,2.926
180,Titanium_6Al4V,114000,674.51,20.82,84.91,28367.89,150.96,385.827,11.6337
181,Steel_High_Carbon,210000,284.45,44.32,35.78,10846.09,110.17,309.051,2.1985
182,Titanium_6Al4V,114000,652.16,12.48,72.15,8120.47,94.06,489.072,16.8184
183,Steel_High_Carbon,210000,1296.03,29.51,35.15,2063.75,302.53,372.193,56.2966
184,Brass,105000,1739.33,35.07,32.11,296.49,80.63,84.475,50.5052
185,Copper_Alloy,117000,373.54,22.2,71.28,5810.13,233.6,95.412,1.0365
186,Steel_High_Carbon,210000,1667.11,43.16,60.02,3613.72,164.82,62.231,8.949
187,Titanium_6Al4V,114000,444.88,21.0,35.33,5410.97,86.67,550.832,18.0208
188,Copper_Alloy,117000,243.04,33.68,114.43,15154.48,21.02,21.952,0.0534
189,Copper_Alloy,117000,227.09,25.61,92.34,11591.77,131.9,57.89,0.1714
190,Magnesium_AZ31B,45000,713.15,11.92,86.93,2187.04,166.77,25.861,2.061
191,Steel_High_Carbon,210000,1338.61,22.21,82.97,9132.04,49.12,366.076,24.8673
192,Nylon_66,3000,716.48,22.41,97.76,1041.99,135.05,15.138,17.2425
193,Titanium_6Al4V,114000,1148.79,52.75,86.23,11693.09,181.71,8.704,0.5494
194,Steel_Mild,200000,203.39,11.67,24.1,438.56,139.0,53.046,0.2964
195,Titanium_6Al4V,114000,351.91,58.36,115.55,70548.42,121.87,169.452,1.0177
196,Steel_High_Carbon,210000,951.11,25.87,59.92,4482.01,107.41,263.716,12.593
197,Copper_Alloy,117000,721.21,50.06,102.47,1066.74,77.29,8.629,0.2478
198,Steel_High_Carbon,210000,1736.0,44.61,85.6,2023.66,166.92,15.113,1.6311
199,Steel_High_Carbon,210000,863.82,36.35,116.13,9283.25,227.88,74.396,1.485
200,Steel_Mild,200000,405.77,29.08,36.18,2955.07,326.71,106.162,1.5737
201,Nylon_66,3000,490.47,47.51,54.18,823.0,130.26,13.474,13.0758
202,Titanium_6Al4V,114000,725.07,58.06,38.68,4299.88,181.0,5.673,0.299
203,Stainless_304,193000,870.65,24.43,80.07,6772.19,37.11,139.146,4.4565
204,Steel_Mild,200000,779.12,17.77,64.74,2270.28,44.12,100.68,3.1005
205,Steel_Mild,200000,1079.62,30.63,20.3,186.9,210.4,48.798,9.2896
206,Magnesium_AZ31B,45000,673.24,30.43,61.52,2488.06,293.4,80.679,8.7417
207,Steel_Mild,200000,359.18,11.23,92.41,11945.35,274.37,270.186,1.2456
208,Magnesium_AZ31B,45000,573.24,17.94,113.1,2878.99,276.47,43.191,1.8455
209,Titanium_6Al4V,114000,1751.15,26.01,56.93,5323.53,193.86,162.451,50.0677
210,Steel_High_Carbon,210000,1640.31,21.01,80.69,3416.21,244.28,222.359,23.4405
211,Brass,105000,1376.1,50.24,47.44,483.18,62.33,31.346,7.9196
212,Brass,105000,250.87,58.37,38.7,9161.44,151.14,79.852,0.7862
213,Steel_High_Carbon,210000,1556.41,50.31,50.29,5378.42,28.73,191.628,29.0153
214,Aluminum_6061,69000,1839.27,46.16,24.05,209.33,290.91,80.894,109.8451
215,Magnesium_AZ31B,45000,1466.33,58.23,102.5,1645.53,271.08,23.676,7.3528
216,Stainless_304,193000,402.11,29.02,57.81,1378.55,135.03,24.864,0.2342
217,Steel_Mild,200000,289.03,40.99,42.24,11054.8,332.09,128.576,0.8089
218,Steel_Mild,200000,1326.47,43.54,23.6,468.86,350.28,26.43,6.4565
219,Steel_Mild,200000,342.37,56.43,103.96,71308.69,257.16,238.874,0.8802
220,Magnesium_AZ31B,45000,959.95,34.85,38.77,647.79,192.37,15.729,5.3729
221,Steel_Mild,200000,863.9,43.39,112.73,29125.47,31.6,148.755,3.166
222,Copper_Alloy,117000,1181.57,11.14,89.22,2728.14,263.99,217.31,19.3399
223,Nylon_66,3000,252.47,30.79,77.73,1301.71,106.72,10.396,1.8499
224,Copper_Alloy,117000,1654.07,38.85,94.21,7409.17,62.11,189.485,31.1889
225,Stainless_304,193000,496.86,51.45,75.81,21065.8,175.14,23.405,0.2029
226,Brass,105000,369.66,32.45,73.89,9628.81,270.17,121.005,1.4154
227,Steel_High_Carbon,210000,1782.5,22.08,57.75,2767.7,201.11,146.813,25.2865
228,Aluminum_6061,69000,414.38,55.45,109.23,10552.85,179.5,2.089,0.0117
229,Stainless_304,193000,752.48,40.96,66.85,2042.12,35.4,29.807,0.8537
230,Steel_Mild,200000,1578.46,43.4,98.16,10809.13,11.8,52.562,4.2356
231,Brass,105000,1258.69,27.55,64.68,597.75,55.28,32.393,5.0068
232,Steel_Mild,200000,1581.34,32.38,61.92,3757.25,322.63,175.802,23.4621
233,Polycarbonate,2400,348.61,21.55,111.41,10282.08,171.33,16.44,3.7237
234,Stainless_304,193000,1687.71,57.42,50.45,795.56,259.21,54.205,10.5603
235,Copper_Alloy,117000,988.37,17.9,35.65,655.93,313.91,123.91,19.2332
236,Nylon_66,3000,434.04,55.37,71.66,5959.66,209.51,28.26,15.709
237,Magnesium_AZ31B,45000,1541.95,43.16,109.16,9670.69,167.11,40.827,12.5231
238,Brass,105000,564.66,31.81,78.18,4208.72,14.55,20.093,0.4772
239,Titanium_6Al4V,114000,561.12,11.71,31.28,2192.35,194.28,164.746,9.3536
240,Stainless_304,193000,1279.94,24.53,34.82,852.09,62.43,195.515,31.6975
241,Stainless_304,193000,706.46,59.01,107.96,23962.39,64.82,135.535,2.1341
242,Steel_Mild,200000,680.03,38.37,119.89,39780.75,175.28,32.887,0.3127
243,Aluminum_6061,69000,1523.49,52.96,118.29,5115.17,270.29,63.136,11.9617
244,Steel_Mild,200000,666.08,47.71,46.65,5447.29,15.82,59.541,1.8121
245,Magnesium_AZ31B,45000,888.13,39.49,95.85,10888.66,194.23,42.142,4.7932
246,Steel_High_Carbon,210000,854.17,57.64,40.77,1126.38,142.82,36.801,2.0686
247,Copper_Alloy,117000,441.58,26.24,39.89,1423.88,67.31,83.948,2.3219
248,Steel_Mild,200000,1372.83,37.53,68.59,4840.61,16.28,65.125,5.7982
249,Copper_Alloy,117000,259.25,45.71,112.51,24322.31,302.71,58.493,0.1874
250,Steel_Mild,200000,596.71,23.32,110.19,9135.12,47.75,88.158,0.921
251,Steel_Mild,200000,1466.94,14.88,58.39,188.33,345.39,8.453,1.0125
252,Stainless_304,193000,579.73,22.19,115.86,10137.76,46.42,88.788,0.8593
253,Stainless_304,193000,707.72,29.17,78.58,8633.18,16.15,60.291,1.2465
254,Magnesium_AZ31B,45000,292.01,29.59,105.34,35363.53,289.01,184.225,2.1396
255,Stainless_304,193000,358.19,37.17,31.96,3514.81,204.84,86.325,1.159
256,Nylon_66,3000,291.02,38.74,78.42,6555.55,308.62,39.132,9.0103
257,Magnesium_AZ31B,45000,908.51,28.72,105.61,5190.63,193.98,23.025,2.4709
258,Stainless_304,193000,606.01,41.71,105.37,9239.97,16.89,23.144,0.2538
259,Brass,105000,207.49,13.23,63.56,6549.01,281.97,152.136,0.6418
260,Magnesium_AZ31B,45000,1609.8,31.35,82.73,2276.28,319.62,67.069,30.8063
261,Steel_High_Carbon,210000,1132.31,48.77,42.38,3684.85,220.72,187.821,17.9065
262,Brass,105000,1979.01,51.68,114.66,3096.79,296.87,48.529,10.4701
263,Steel_Mild,200000,1473.78,53.24,65.46,2038.34,54.23,64.458,7.0902
264,Stainless_304,193000,233.0,32.34,48.01,2815.96,205.87,24.761,0.09
265,Stainless_304,193000,972.0,39.73,32.36,116.76,150.68,8.095,0.8083
266,Nylon_66,3000,663.3,27.89,102.72,3735.11,117.86,45.367,42.5068
267,Titanium_6Al4V,114000,1718.15,51.96,71.11,22399.55,310.64,670.951,161.9025
268,Magnesium_AZ31B,45000,1860.13,19.91,115.62,4524.05,307.53,151.696,66.7001
269,Copper_Alloy,117000,545.42,31.14,74.96,4394.12,243.65,74.608,1.6653
